City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Chokurdakh,RU,2021-05-11 06:53:30,70.6333,147.9167,26.35,87,100,7.61,overcast clouds
60,Tura,IN,2021-05-11 06:53:30,25.5198,90.2201,80.31,74,31,3.85,moderate rain
61,Barcelos,PT,2021-05-11 06:53:31,41.5388,-8.6151,53.6,76,40,5.75,scattered clouds
62,Hobyo,SO,2021-05-11 06:53:31,5.3505,48.5268,82.15,68,100,11.43,overcast clouds
63,Te Anau,NZ,2021-05-11 06:53:31,-45.4167,167.7167,40.05,97,100,3.89,overcast clouds
64,Ossora,RU,2021-05-11 06:53:32,59.2353,163.0719,34.84,83,32,2.15,scattered clouds
65,Florianopolis,BR,2021-05-11 06:53:32,-27.6146,-48.5012,70.0,88,0,11.5,clear sky
66,Hobart,AU,2021-05-11 06:53:32,-42.8794,147.3294,50.0,46,75,5.75,broken clouds
67,Port Macquarie,AU,2021-05-11 06:53:33,-31.4333,152.9167,68.0,99,100,2.73,light rain
68,Mahebourg,MU,2021-05-11 06:53:33,-20.4081,57.7,82.4,65,40,14.97,scattered clouds
69,Batsfjord,NO,2021-05-11 06:53:33,70.6345,29.7185,41.0,75,0,5.75,clear sky
70,Mayo,US,2021-05-11 06:53:33,38.8876,-76.5119,53.01,78,100,6.8,overcast clouds
71,Longyearbyen,SJ,2021-05-11 06:53:34,78.2186,15.6401,30.2,86,75,3.44,light snow
72,Barrow,US,2021-05-11 06:53:34,71.2906,-156.7887,17.6,93,90,10.36,overcast clouds
73,Kununurra,AU,2021-05-11 06:53:34,-15.7667,128.7333,93.2,22,0,13.8,clear sky
74,Bluff,NZ,2021-05-11 06:53:35,-46.6,168.3333,44.01,90,100,7.0,overcast clouds
75,Pevek,RU,2021-05-11 06:53:35,69.7008,170.3133,22.73,86,52,2.84,broken clouds
76,Aden,YE,2021-05-11 06:53:02,12.7794,45.0367,86.27,65,76,7.43,broken clouds
77,Atuona,PF,2021-05-11 06:53:35,-9.8,-139.0333,79.02,80,58,24.27,light rain
78,Santiago Del Estero,AR,2021-05-11 06:53:36,-27.7951,-64.2615,58.23,65,100,5.46,overcast clouds
79,Qaanaaq,GL,2021-05-11 06:53:36,77.484,-69.3632,15.93,89,100,7.25,overcast clouds
80,Miri,MY,2021-05-11 06:53:36,4.4148,114.0089,89.6,66,40,8.05,scattered clouds
81,Yatou,CN,2021-05-11 06:53:37,37.15,122.3833,59.95,78,100,9.98,overcast clouds
82,Dakar,SN,2021-05-11 06:53:03,14.6937,-17.4441,68.0,94,0,6.91,clear sky
83,Zlotoryja,PL,2021-05-11 06:53:37,51.1264,15.9198,71.01,43,5,12.39,clear sky
84,Takab,IR,2021-05-11 06:53:37,36.4009,47.1133,71.13,24,100,18.07,overcast clouds
85,Buritama,BR,2021-05-11 06:53:38,-21.0661,-50.1472,67.42,57,52,6.24,broken clouds
86,Carandai,BR,2021-05-11 06:52:01,-20.9536,-43.8064,48.54,94,0,0.89,clear sky
87,Upington,ZA,2021-05-11 06:53:38,-28.4478,21.2561,59.0,36,0,1.14,clear sky
88,Bethel,US,2021-05-11 06:53:38,41.3712,-73.414,46.0,87,1,5.59,clear sky
89,Kodiak,US,2021-05-11 06:52:03,57.79,-152.4072,39.2,87,90,3.44,light rain
90,Puerto Ayora,EC,2021-05-11 06:53:39,-0.7393,-90.3518,75.0,96,3,3.0,clear sky
91,Trincomalee,LK,2021-05-11 06:53:39,8.5711,81.2335,88.18,62,100,6.58,overcast clouds
